Test Case,Role,Method,Endpoint,Expected Code,Actual Code,Result,Full Response,Timestamp
Login Admin,User,POST,/auth/login,200,200,PASS,"{""message"": ""Login successful"", ""token"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MiwibmFtZSI6IkFkbWluIiwicm9sZSI6ImFkbWluIiwiY2FuU2VsbCI6dHJ1ZSwiaWF0IjoxNzY5NDMxMzQ1LCJleHAiOjE3Njk1MTc3NDV9.oWTDZruB82FEV0PCzwvfDCWslfT70ZMzOttV4y19jI4"", ""user"": {""id"": 2, ""name"": ""Admin"", ""email"": ""admin@admin.com"", ""role"": ""admin"", ""canSell"": true}}",2026-01-26 18:12:25
Login Bad Pass,User,POST,/auth/login,401,401,PASS,"{""message"": ""Invalid credentials""}",2026-01-26 18:12:25
Login Non-Exist,User,POST,/auth/login,401,401,PASS,"{""message"": ""Invalid credentials""}",2026-01-26 18:12:25
Login SQLi Email,User,POST,/auth/login,401,401,PASS,"{""message"": ""Invalid credentials""}",2026-01-26 18:12:25
Login Empty Data,User,POST,/auth/login,"[400, 401, 500]",400,PASS,"{""message"": ""All fields are required""}",2026-01-26 18:12:25
Profile Valid,User,GET,/auth/api/profile,200,200,PASS,"{""message"": ""Token verification successful"", ""user"": {""id"": 5, ""name"": ""B"", ""role"": ""user"", ""canSell"": false, ""iat"": 1769431345, ""exp"": 1769517745}}",2026-01-26 18:12:25
Profile Bad Token,User,GET,/auth/api/profile,"[403, 500]",403,PASS,"{""message"": ""Invalid token. Authentication failed.""}",2026-01-26 18:12:25
Profile No Token,User,GET,/auth/api/profile,401,401,PASS,"{""message"": ""Access Denied: No Token Provided!""}",2026-01-26 18:12:25
Upgrade Seller,User,PUT,/auth/become-seller,200,200,PASS,"{""message"": ""Congratulations! You are now a seller."", ""user"": {""id"": 6, ""name"": ""S"", ""email"": ""seller_1769431344813308000@test.com"", ""role"": ""user"", ""canSell"": true}}",2026-01-26 18:12:25
Upgrade Again,User,PUT,/auth/become-seller,400,400,PASS,"{""message"": ""You are already a seller""}",2026-01-26 18:12:25
Login Case Sens,User,POST,/auth/login,"[200, 401]",401,PASS,"{""message"": ""Invalid credentials""}",2026-01-26 18:12:25
Phone Valid,User,POST,/number,"[200, 201]",201,PASS,"{""message"": ""Number saved successfully"", ""number"": {""id"": 5, ""userId"": 5, ""phone"": ""9913308000"", ""updatedAt"": ""2026-01-26T12:42:25.296Z"", ""createdAt"": ""2026-01-26T12:42:25.296Z""}}",2026-01-26 18:12:25
Phone Short,User,POST,/number,400,400,PASS,"{""message"": ""Invalid phone number (min 10 digits)""}",2026-01-26 18:12:25
Update Phone,User,PUT,/number,200,200,PASS,"{""message"": ""Number saved successfully"", ""number"": {""id"": 5, ""userId"": 5, ""phone"": ""8813308000"", ""createdAt"": ""2026-01-26T12:42:25.296Z"", ""updatedAt"": ""2026-01-26T12:42:25.301Z""}}",2026-01-26 18:12:25
Get Phone,User,GET,/number,200,200,PASS,"[{""id"": 5, ""userId"": 5, ""phone"": ""8813308000"", ""createdAt"": ""2026-01-26T12:42:25.296Z"", ""updatedAt"": ""2026-01-26T12:42:25.301Z""}]",2026-01-26 18:12:25
Addr Valid,User,POST,/address,201,201,PASS,"{""message"": ""Address added successfully"", ""address"": {""id"": 5, ""userId"": 5, ""line1"": ""L1"", ""line2"": null, ""city"": ""C"", ""state"": ""S"", ""pincode"": ""123456"", ""country"": ""IN"", ""isDefault"": true, ""updatedAt"": ""2026-01-26T12:42:25.306Z"", ""createdAt"": ""2026-01-26T12:42:25.306Z""}}",2026-01-26 18:12:25
Addr Missing Field,User,POST,/address,"[400, 500]",400,PASS,"{""message"": ""Missing required fields""}",2026-01-26 18:12:25
Addr XSS Input,User,POST,/address,"[201, 400]",201,PASS,"{""message"": ""Address added successfully"", ""address"": {""id"": 6, ""userId"": 5, ""line1"": ""&lt;script&gt;alert(1)&lt;/script&gt;"", ""line2"": null, ""city"": ""C"", ""state"": ""S"", ""pincode"": ""123"", ""country"": ""IN"", ""isDefault"": false, ""updatedAt"": ""2026-01-26T12:42:25.310Z"", ""createdAt"": ""2026-01-26T12:42:25.310Z""}}",2026-01-26 18:12:25
Update Addr Valid,User,PUT,/address,200,200,PASS,"{""message"": ""Address updated successfully"", ""address"": {""id"": 5, ""userId"": 5, ""line1"": ""New L1"", ""line2"": null, ""city"": ""C"", ""state"": ""S"", ""pincode"": ""123456"", ""country"": ""IN"", ""isDefault"": true, ""createdAt"": ""2026-01-26T12:42:25.306Z"", ""updatedAt"": ""2026-01-26T12:42:25.313Z""}}",2026-01-26 18:12:25
Update Bad ID,User,PUT,/address,404,404,PASS,"{""message"": ""Address not found""}",2026-01-26 18:12:25
Get Addr,User,GET,/address,200,200,PASS,"[{""id"": 5, ""userId"": 5, ""line1"": ""New L1"", ""line2"": null, ""city"": ""C"", ""state"": ""S"", ""pincode"": ""123456"", ""country"": ""IN"", ""isDefault"": true, ""createdAt"": ""2026-01-26T12:42:25.306Z"", ""updatedAt"": ""2026-01-26T12:42:25.313Z""}, {""id"": 6, ""userId"": 5, ""line1"": ""&lt;script&gt;alert(1)&lt;/script&gt;"", ""line2"": null, ""city"": ""C"", ""state"": ""S"", ""pincode"": ""123"", ""country"": ""IN"", ""isDefault"": false, ""createdAt"": ""2026-01-26T12:42:25.310Z"", ""updatedAt"": ""2026-01-26T12:42:25.310Z""}]",2026-01-26 18:12:25
Get Addr No Tok,User,GET,/address,401,401,PASS,"{""message"": ""Access Denied: No Token Provided!""}",2026-01-26 18:12:25
Seller Add Valid,Sel,POST,/products,201,201,PASS,"{""message"": ""Product added successfully"", ""product"": {""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""id"": 4, ""name"": ""Prod_1769431344813308000"", ""description"": ""D"", ""price"": ""100.00"", ""stock"": 10, ""imageUrl"": ""u"", ""userId"": 6, ""updatedAt"": ""2026-01-26T12:42:25.321Z"", ""createdAt"": ""2026-01-26T12:42:25.321Z"", ""deletedAt"": null}}",2026-01-26 18:12:25
Add Neg Price,Sel,POST,/products,400,400,PASS,"{""message"": ""Price must be a positive number""}",2026-01-26 18:12:25
Add Zero Price,Sel,POST,/products,"[400, 201]",400,PASS,"{""message"": ""Name and Price and User are required""}",2026-01-26 18:12:25
Add String Price,Sel,POST,/products,400,400,PASS,"{""message"": ""Price must be a positive number""}",2026-01-26 18:12:25
Add Neg Stock,Sel,POST,/products,400,400,PASS,"{""message"": ""Stock must be a non-negative number""}",2026-01-26 18:12:25
Add Huge Stock,Sel,POST,/products,201,201,PASS,"{""message"": ""Product added successfully"", ""product"": {""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""id"": 5, ""name"": ""Prod_1769431344813308000"", ""description"": ""D"", ""price"": ""100.00"", ""stock"": 999999999, ""imageUrl"": ""u"", ""userId"": 6, ""updatedAt"": ""2026-01-26T12:42:25.331Z"", ""createdAt"": ""2026-01-26T12:42:25.331Z"", ""deletedAt"": null}}",2026-01-26 18:12:25
Add Missing Name,Sel,POST,/products,400,400,PASS,"{""message"": ""Name and Price and User are required""}",2026-01-26 18:12:25
Stock Update,Sel,PUT,/products/stock,200,200,PASS,"{""message"": ""Stock updated successfully"", ""product"": {""id"": 4, ""userId"": 6, ""name"": ""Prod_1769431344813308000"", ""description"": ""D"", ""price"": ""100.00"", ""stock"": 60, ""imageUrl"": ""u"", ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:42:25.321Z"", ""updatedAt"": ""2026-01-26T12:42:25.337Z"", ""deletedAt"": null}}",2026-01-26 18:12:25
Stock Neg Update,Sel,PUT,/products/stock,200,200,PASS,"{""message"": ""Stock updated successfully"", ""product"": {""id"": 4, ""userId"": 6, ""name"": ""Prod_1769431344813308000"", ""description"": ""D"", ""price"": ""100.00"", ""stock"": 55, ""imageUrl"": ""u"", ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:42:25.321Z"", ""updatedAt"": ""2026-01-26T12:42:25.339Z"", ""deletedAt"": null}}",2026-01-26 18:12:25
Stock Bad Type,Sel,PUT,/products/stock,400,400,PASS,"{""message"": ""Stock must be a number""}",2026-01-26 18:12:25
Meta Update Desc,Sel,PUT,/products/meta,200,200,PASS,"{""message"": ""Product meta updated successfully"", ""product"": {""id"": 4, ""userId"": 6, ""name"": ""Prod_1769431344813308000"", ""description"": ""New D"", ""price"": ""100.00"", ""stock"": 55, ""imageUrl"": ""u"", ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:42:25.321Z"", ""updatedAt"": ""2026-01-26T12:42:25.344Z"", ""deletedAt"": null}}",2026-01-26 18:12:25
Meta Update Empty,Sel,PUT,/products/meta,400,400,PASS,"{""message"": ""No fields provided for update""}",2026-01-26 18:12:25
Show Own,User,GET,/products/show,200,200,PASS,"[{""id"": 5, ""userId"": 6, ""name"": ""Prod_1769431344813308000"", ""description"": ""D"", ""price"": ""100.00"", ""stock"": 999999999, ""imageUrl"": ""u"", ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:42:25.331Z"", ""updatedAt"": ""2026-01-26T12:42:25.331Z"", ""deletedAt"": null}, {""id"": 4, ""userId"": 6, ""name"": ""Prod_1769431344813308000"", ""description"": ""New D"", ""price"": ""100.00"", ""stock"": 55, ""imageUrl"": ""u"", ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:42:25.321Z"", ""updatedAt"": ""2026-01-26T12:42:25.344Z"", ""deletedAt"": null}]",2026-01-26 18:12:25
Buyer Add (Fail),Buy,POST,/products,403,403,PASS,"{""message"": ""Seller access required""}",2026-01-26 18:12:25
Buyer Del (Fail),Buy,DELETE,/products/4,403,403,PASS,"{""message"": ""Seller access required""}",2026-01-26 18:12:25
Sel Del Fake,Sel,DELETE,/products/99999,404,404,PASS,"{""message"": ""Product not found""}",2026-01-26 18:12:25
Search Valid,User,GET,/products,200,200,PASS,"{""totalItems"": 5, ""totalPages"": 1, ""currentPage"": 1, ""products"": [{""id"": 5, ""userId"": 6, ""name"": ""Prod_1769431344813308000"", ""description"": ""D"", ""price"": ""100.00"", ""stock"": 999999999, ""imageUrl"": ""u"", ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:42:25.331Z"", ""updatedAt"": ""2026-01-26T12:42:25.331Z"", ""deletedAt"": null}, {""id"": 4, ""userId"": 6, ""name"": ""Prod_1769431344813308000"", ""description"": ""New D"", ""price"": ""100.00"", ""stock"": 55, ""imageUrl"": ""u"", ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:42:25.321Z"", ""updatedAt"": ""2026-01-26T12:42:25.344Z"", ""deletedAt"": null}, {""id"": 1, ""userId"": 3, ""name"": ""iPhone 16"", ""description"": ""Apple smartphone"", ""price"": ""120000.00"", ""stock"": 15, ""imageUrl"": null, ""isActive"": true, ""isFeatured"": true, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:41:27.017Z"", ""updatedAt"": ""2026-01-26T12:41:27.017Z"", ""deletedAt"": null}, {""id"": 2, ""userId"": 3, ""name"": ""MacBook Air M3"", ""description"": ""Apple laptop"", ""price"": ""150000.00"", ""stock"": 8, ""imageUrl"": null, ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:41:27.017Z"", ""updatedAt"": ""2026-01-26T12:41:27.017Z"", ""deletedAt"": null}, {""id"": 3, ""userId"": 3, ""name"": ""AirPods Pro"", ""description"": ""Wireless earbuds"", ""price"": ""25000.00"", ""stock"": 30, ""imageUrl"": null, ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:41:27.017Z"", ""updatedAt"": ""2026-01-26T12:41:27.017Z"", ""deletedAt"": null}]}",2026-01-26 18:12:25
Search Exact,User,GET,/products?search=Prod_1769431344813308000,200,200,PASS,"{""totalItems"": 2, ""totalPages"": 1, ""currentPage"": 1, ""products"": [{""id"": 5, ""userId"": 6, ""name"": ""Prod_1769431344813308000"", ""description"": ""D"", ""price"": ""100.00"", ""stock"": 999999999, ""imageUrl"": ""u"", ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:42:25.331Z"", ""updatedAt"": ""2026-01-26T12:42:25.331Z"", ""deletedAt"": null}, {""id"": 4, ""userId"": 6, ""name"": ""Prod_1769431344813308000"", ""description"": ""New D"", ""price"": ""100.00"", ""stock"": 55, ""imageUrl"": ""u"", ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:42:25.321Z"", ""updatedAt"": ""2026-01-26T12:42:25.344Z"", ""deletedAt"": null}]}",2026-01-26 18:12:25
Search Price Range,User,GET,/products?minPrice=50&maxPrice=150,200,200,PASS,"{""totalItems"": 2, ""totalPages"": 1, ""currentPage"": 1, ""products"": [{""id"": 5, ""userId"": 6, ""name"": ""Prod_1769431344813308000"", ""description"": ""D"", ""price"": ""100.00"", ""stock"": 999999999, ""imageUrl"": ""u"", ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:42:25.331Z"", ""updatedAt"": ""2026-01-26T12:42:25.331Z"", ""deletedAt"": null}, {""id"": 4, ""userId"": 6, ""name"": ""Prod_1769431344813308000"", ""description"": ""New D"", ""price"": ""100.00"", ""stock"": 55, ""imageUrl"": ""u"", ""isActive"": true, ""isFeatured"": false, ""rating"": 0, ""ratingCount"": 0, ""createdAt"": ""2026-01-26T12:42:25.321Z"", ""updatedAt"": ""2026-01-26T12:42:25.344Z"", ""deletedAt"": null}]}",2026-01-26 18:12:25
Search Bad Range,User,GET,/products?minPrice=200&maxPrice=100,404,404,PASS,"{""message"": ""No products found""}",2026-01-26 18:12:25
Page Neg,User,GET,/products?page=-1,400,400,PASS,"{""message"": ""Page must be >= 1""}",2026-01-26 18:12:25
Wish Add Valid,User,POST,/wish,201,201,PASS,"{""message"": ""Item added to wishlist successfully"", ""wish"": {""id"": 1, ""userId"": 5, ""productId"": 4, ""updatedAt"": ""2026-01-26T12:42:25.365Z"", ""createdAt"": ""2026-01-26T12:42:25.365Z""}}",2026-01-26 18:12:25
Wish Add Dup,User,POST,/wish,409,409,PASS,"{""message"": ""Item already in wishlist""}",2026-01-26 18:12:25
Wish Bad ID,User,POST,/wish,"[400, 404, 500]",500,PASS,"{""success"": false, ""message"": ""insert or update on table \""wishlists\"" violates foreign key constraint \""wishlists_productId_fkey\""""}",2026-01-26 18:12:25
Wish Get,User,GET,/wish,200,200,PASS,"[{""id"": 1, ""userId"": 5, ""productId"": 4, ""createdAt"": ""2026-01-26T12:42:25.365Z"", ""updatedAt"": ""2026-01-26T12:42:25.365Z""}]",2026-01-26 18:12:25
Cart Add Valid,User,POST,/cart,200,200,PASS,"{""message"": ""Item added to cart successfully"", ""cartItem"": {""id"": 9, ""quantity"": 2, ""cartId"": 5, ""productId"": 4, ""updatedAt"": ""2026-01-26T12:42:25.387Z"", ""createdAt"": ""2026-01-26T12:42:25.387Z""}}",2026-01-26 18:12:25
Cart Add Over,User,POST,/cart,"[400, 200]",400,PASS,"{""message"": ""Only 55 items are available in stock""}",2026-01-26 18:12:25
Cart Add Neg,User,POST,/cart,200,200,PASS,"{""message"": ""Item removed from cart successfully"", ""cartItem"": {""id"": 9, ""cartId"": 5, ""productId"": 4, ""quantity"": 1, ""createdAt"": ""2026-01-26T12:42:25.387Z"", ""updatedAt"": ""2026-01-26T12:42:25.393Z""}}",2026-01-26 18:12:25
Cart Add Zero,User,POST,/cart,"[200, 400]",200,PASS,"{""message"": ""Item added to cart successfully"", ""cartItem"": {""id"": 9, ""cartId"": 5, ""productId"": 4, ""quantity"": 1, ""createdAt"": ""2026-01-26T12:42:25.387Z"", ""updatedAt"": ""2026-01-26T12:42:25.393Z""}}",2026-01-26 18:12:25
Cart Bad Prod,User,POST,/cart,404,404,PASS,"{""message"": ""Product not found""}",2026-01-26 18:12:25
Cart Bad Qty Type,User,POST,/cart,400,400,PASS,"{""message"": ""Quantity must be a number""}",2026-01-26 18:12:25
Cart Get,User,GET,/cart,200,200,PASS,"[{""id"": 9, ""cartId"": 5, ""productId"": 4, ""quantity"": 1, ""createdAt"": ""2026-01-26T12:42:25.387Z"", ""updatedAt"": ""2026-01-26T12:42:25.393Z""}]",2026-01-26 18:12:25
Cart No Auth,User,GET,/cart,401,401,PASS,"{""message"": ""Access Denied: No Token Provided!""}",2026-01-26 18:12:25
Place No Addr,User,POST,/orders,400,400,PASS,"{""message"": ""No address found for this user""}",2026-01-26 18:12:25
Place Valid,User,POST,/orders,201,201,PASS,"{""message"": ""Order placed successfully"", ""orderId"": 3, ""totalAmount"": 100}",2026-01-26 18:12:25
Get Order,User,GET,/orders/3,200,200,PASS,"{""id"": 3, ""userId"": 5, ""totalAmount"": ""100.00"", ""status"": ""pending"", ""paymentStatus"": ""pending"", ""addressId"": 5, ""createdAt"": ""2026-01-26T12:42:25.413Z"", ""updatedAt"": ""2026-01-26T12:42:25.413Z"", ""deletedAt"": null, ""orderItems"": [{""id"": 5, ""orderId"": 3, ""productId"": 4, ""quantity"": 1, ""price"": ""100.00"", ""status"": ""pending"", ""createdAt"": ""2026-01-26T12:42:25.415Z"", ""updatedAt"": ""2026-01-26T12:42:25.415Z"", ""deletedAt"": null}]}",2026-01-26 18:12:25
List Orders,User,GET,/orders,200,200,PASS,"[{""id"": 3, ""userId"": 5, ""totalAmount"": ""100.00"", ""status"": ""pending"", ""paymentStatus"": ""pending"", ""addressId"": 5, ""createdAt"": ""2026-01-26T12:42:25.413Z"", ""updatedAt"": ""2026-01-26T12:42:25.413Z"", ""deletedAt"": null, ""orderItems"": [{""id"": 5, ""orderId"": 3, ""productId"": 4, ""quantity"": 1, ""price"": ""100.00"", ""status"": ""pending"", ""createdAt"": ""2026-01-26T12:42:25.415Z"", ""updatedAt"": ""2026-01-26T12:42:25.415Z"", ""deletedAt"": null}]}]",2026-01-26 18:12:25
Get Fake Order,User,GET,/orders/99999,404,404,PASS,"{""message"": ""Order not found""}",2026-01-26 18:12:25
Get Other's Order,User,GET,/orders/3,"[403, 404]",404,PASS,"{""message"": ""Order not found""}",2026-01-26 18:12:25
Cancel Valid,User,PUT,/orders/3/cancel,200,200,PASS,"{""message"": ""Order cancelled"", ""order"": {""id"": 3, ""userId"": 5, ""totalAmount"": ""100.00"", ""status"": ""cancelled"", ""paymentStatus"": ""pending"", ""addressId"": 5, ""createdAt"": ""2026-01-26T12:42:25.413Z"", ""updatedAt"": ""2026-01-26T12:42:25.427Z"", ""deletedAt"": null}}",2026-01-26 18:12:25
Cancel Again,User,PUT,/orders/3/cancel,400,400,PASS,"{""message"": ""Order cannot be cancelled""}",2026-01-26 18:12:25
Refill Cart,User,POST,/cart,200,200,PASS,"{""message"": ""Item added to cart successfully"", ""cartItem"": {""id"": 10, ""quantity"": 1, ""cartId"": 5, ""productId"": 4, ""updatedAt"": ""2026-01-26T12:42:25.432Z"", ""createdAt"": ""2026-01-26T12:42:25.432Z""}}",2026-01-26 18:12:25
Place Order 2,User,POST,/orders,201,201,PASS,"{""message"": ""Order placed successfully"", ""orderId"": 4, ""totalAmount"": 100}",2026-01-26 18:12:25
Get Item ID,User,GET,/orders/4,200,200,PASS,"{""id"": 4, ""userId"": 5, ""totalAmount"": ""100.00"", ""status"": ""pending"", ""paymentStatus"": ""pending"", ""addressId"": 5, ""createdAt"": ""2026-01-26T12:42:25.437Z"", ""updatedAt"": ""2026-01-26T12:42:25.437Z"", ""deletedAt"": null, ""orderItems"": [{""id"": 6, ""orderId"": 4, ""productId"": 4, ""quantity"": 1, ""price"": ""100.00"", ""status"": ""pending"", ""createdAt"": ""2026-01-26T12:42:25.438Z"", ""updatedAt"": ""2026-01-26T12:42:25.438Z"", ""deletedAt"": null}]}",2026-01-26 18:12:25
Init Online,User,POST,/payments/init,200,200,PASS,"{""message"": ""Payment initialized"", ""paymentId"": 3, ""sessionId"": ""sess_1769431345445_3""}",2026-01-26 18:12:25
Init COD,User,POST,/payments/init,200,200,PASS,"{""message"": ""Order set to COD"", ""order"": {""id"": 4, ""userId"": 5, ""totalAmount"": ""100.00"", ""status"": ""pending"", ""paymentStatus"": ""pending"", ""addressId"": 5, ""createdAt"": ""2026-01-26T12:42:25.437Z"", ""updatedAt"": ""2026-01-26T12:42:25.437Z"", ""deletedAt"": null}}",2026-01-26 18:12:25
Init Bad ID,User,POST,/payments/init,404,404,PASS,"{""message"": ""Order not found""}",2026-01-26 18:12:25
Init Bad Method,User,POST,/payments/init,"[200, 400, 500]",400,PASS,"{""message"": ""Invalid payment method. Use 'cod' or 'online'.""}",2026-01-26 18:12:25
Retry Online,User,POST,/payments/init,200,200,PASS,"{""message"": ""Payment initialized"", ""paymentId"": 5, ""sessionId"": ""sess_1769431345452_5""}",2026-01-26 18:12:25
Verify Fail,User,POST,/payments/verify,200,200,PASS,"{""message"": ""Payment updated to failed"", ""orderPaymentStatus"": ""failed""}",2026-01-26 18:12:25
Verify Bad Status,User,POST,/payments/verify,"[200, 400, 500]",500,PASS,"{""success"": false, ""message"": ""invalid input value for enum enum_payments_status: \""maybe\""""}",2026-01-26 18:12:25
Verify Success,User,POST,/payments/verify,200,200,PASS,"{""message"": ""Payment updated to success"", ""orderPaymentStatus"": ""paid""}",2026-01-26 18:12:25
Verify Again,User,POST,/payments/verify,"[200, 400]",200,PASS,"{""message"": ""Payment updated to success"", ""orderPaymentStatus"": ""paid""}",2026-01-26 18:12:25
Get History,User,GET,/payments/history/4,200,200,PASS,"[{""id"": 5, ""orderId"": 4, ""gateway"": ""stripe_mock"", ""amount"": ""100.00"", ""status"": ""success"", ""method"": ""online"", ""transactionId"": ""sess_1769431345452_5"", ""rawResponse"": null, ""createdAt"": ""2026-01-26T12:42:25.452Z"", ""updatedAt"": ""2026-01-26T12:42:25.461Z""}, {""id"": 4, ""orderId"": 4, ""gateway"": null, ""amount"": ""100.00"", ""status"": ""pending"", ""method"": ""cod"", ""transactionId"": ""COD-1769431345447"", ""rawResponse"": null, ""createdAt"": ""2026-01-26T12:42:25.447Z"", ""updatedAt"": ""2026-01-26T12:42:25.447Z""}, {""id"": 3, ""orderId"": 4, ""gateway"": ""stripe_mock"", ""amount"": ""100.00"", ""status"": ""pending"", ""method"": ""online"", ""transactionId"": ""sess_1769431345445_3"", ""rawResponse"": null, ""createdAt"": ""2026-01-26T12:42:25.443Z"", ""updatedAt"": ""2026-01-26T12:42:25.445Z""}]",2026-01-26 18:12:25
Get Hist Unauth,User,GET,/payments/history/4,"[200, 403, 404]",404,PASS,"{""message"": ""Order not found or unauthorized""}",2026-01-26 18:12:25
Ship Bad Status,User,PUT,/orders/items/6/status,400,400,PASS,"{""message"": ""Invalid status value""}",2026-01-26 18:12:25
Ship Unauth,User,PUT,/orders/items/6/status,403,403,PASS,"{""message"": ""Seller access required""}",2026-01-26 18:12:25
Ship Paid Valid,User,PUT,/orders/items/6/status,200,200,PASS,"{""message"": ""Item status updated"", ""orderItem"": {""id"": 6, ""orderId"": 4, ""productId"": 4, ""quantity"": 1, ""price"": ""100.00"", ""status"": ""shipped"", ""createdAt"": ""2026-01-26T12:42:25.438Z"", ""updatedAt"": ""2026-01-26T12:42:25.473Z"", ""deletedAt"": null}}",2026-01-26 18:12:25
Deliver Paid,User,PUT,/orders/items/6/status,200,200,PASS,"{""message"": ""Item status updated"", ""orderItem"": {""id"": 6, ""orderId"": 4, ""productId"": 4, ""quantity"": 1, ""price"": ""100.00"", ""status"": ""delivered"", ""createdAt"": ""2026-01-26T12:42:25.438Z"", ""updatedAt"": ""2026-01-26T12:42:25.476Z"", ""deletedAt"": null}}",2026-01-26 18:12:25
Refill Unpaid,User,POST,/cart,200,200,PASS,"{""message"": ""Item added to cart successfully"", ""cartItem"": {""id"": 11, ""quantity"": 1, ""cartId"": 5, ""productId"": 4, ""updatedAt"": ""2026-01-26T12:42:25.480Z"", ""createdAt"": ""2026-01-26T12:42:25.480Z""}}",2026-01-26 18:12:25
Place Order 3,User,POST,/orders,201,201,PASS,"{""message"": ""Order placed successfully"", ""orderId"": 5, ""totalAmount"": 100}",2026-01-26 18:12:25
